C1,C2,C3,C4,C5,C6,C7,C8
12.119384037629057,3.1391352252352154,-93.82490676992012,0.7492586540736053,11.466049641846649,-73.78459607454737,-106.6507024451739,-6.195370119295155
12.147121954250442,2.8137779539379935,-140.17530793278763,-1.3621495130935664,12.984438886666858,-109.76533455782192,-160.27466224034958,-12.474478363532906
11.486479371852589,2.3486079971386222,-175.33334239789582,-3.6550448671961133,13.619627560982325,-137.03885714079962,-200.996223921212,-17.5375495531425
10.199307291006996,1.7190362399297818,-199.47304644432688,-6.005589130053656,13.321345217412379,-155.76615212873003,-229.03883481463853,-21.319568996186117
8.30296805429653,0.9898875785002351,-213.00766464171943,-8.192137151269904,12.01957073013463,-166.21600965384906,-244.92453814414569,-23.873101873948762
5.828564979110139,0.21112912841941345,-216.704271832092,-10.070289243526531,9.727652501496422,-168.97778825762992,-249.56567375438908,-25.356821185122797
2.8760584335291632,-0.6013431675180841,-211.67962255277862,-11.596160164749826,6.590866018161953,-164.98214551659498,-244.244123679693,-25.94090753647225
-0.3846339350228893,-1.3796706934753282,-199.19739093064285,-12.689029493135452,2.863957792075673,-155.2251176817128,-230.40444796000966,-25.743279099929705
-3.712634484053455,-2.014651274395374,-180.5628818401487,-13.205706846400183,-1.0845252827850824,-140.65568543034806,-209.54330344915886,-24.833528955953412
-6.778233247429676,-2.4831324188377537,-157.22778878090367,-13.077484112020135,-4.763209903975199,-122.38177704899095,-183.30232458525208,-23.23925659745609
-9.204810352305955,-2.8714892944089123,-130.8146654702317,-12.356182477984227,-7.6618132384435595,-101.74260645375503,-153.487365293729,-20.943310350647295
-10.672850686779796,-3.249458831434636,-102.91002756905017,-11.09277016716151,-9.414841392641769,-80.03246221522178,-121.8673425749699,-17.922346407177372
-10.97466846139126,-3.6151010980478024,-74.8993611918519,-9.285071440180738,-9.84846873421342,-58.302206433048376,-90.00895044075725,-14.210794354954906
-10.009695482808851,-3.9817905696187372,-48.02328101802784,-6.989211473872843,-8.934518909284904,-37.4994945146533,-59.31666284511934,-9.936389367039485
-7.8201070823954995,-4.405276838551605,-23.410633899945726,-4.371005095859743,-6.808075781637199,-18.560251631192973,-31.04937854695212,-5.320265227671917
-4.670481092563948,-4.862587937236455,-1.8983424699368727,-1.587565921226935,-3.8343353394491895,-2.161584441090578,-6.1394723258086525,-0.6745201196802975
-1.0341395450298316,-5.190711956289806,16.116253441075944,1.2806594487382164,-0.5429697810783057,11.484719608178152,14.947867349859001,3.617531074572539
2.5721418801080533,-5.217520462852031,30.54609730841844,4.1143843342496424,2.5875195763972085,22.433867782996085,32.08394532821241,7.1957823623802675
5.735121902635225,-4.878427410186008,41.42249641273325,6.671891720788326,5.243834095445793,30.73801591925265,45.28234843285312,9.835935117463901
8.142001083775154,-4.146136853376127,48.92393053910239,8.707483249070298,7.197553459085211,36.52606676181818,54.71425442914509,11.461817885076023
9.550465396937408,-2.9552470837125724,53.46222818253503,10.102217051427742,8.259719942365289,40.17261181406598,60.78143434602236,12.083505204463505
9.868286581294674,-1.309816571876052,55.537905936492955,10.80620431598914,8.39863488280557,42.12092665473492,63.97543054300873,11.785348233164736
9.25925367783385,0.5861800861037466,55.50607819927814,10.75042743720723,7.842882793160065,42.57965666210015,64.65697147130399,10.788903264401092
8.10004522494527,2.4074892651833433,53.589478893890174,9.942238396448738,6.97550582450102,41.58426976296243,63.07259359559928,9.45756279377246
6.793929757534632,3.897627566354192,50.0675461423645,8.592282688070577,6.114413483625067,39.29100115481848,59.536584944130816,8.150829290588344
5.619544917513948,4.9190380068905615,45.29982945020175,7.01945483651207,5.404975978034466,35.99380871939435,54.451566022882254,7.054514231529315
4.677984502811865,5.391318005805633,39.59175924257921,5.4465478578398585,4.819073588752143,31.90720851093236,48.17752820716996,6.137938433027415
3.8678998396545907,5.3170276655882605,33.20427134385467,3.9669994133913744,4.144674466087721,27.18449503636025,41.037288471430365,5.216128432018024
2.8987196085076885,4.854204643690948,26.504288184927074,2.643163553614563,3.0230380784447197,22.15197393167592,33.455112785523234,4.025573849112977
1.4279269480877375,4.232804085256902,19.943407914901396,1.4912904124853839,1.1428914580754437,17.27740949691976,25.931746790931935,2.3182792994092636
-0.7226389425215202,3.563987763006113,13.836550035298256,0.3857151814129092,-1.522753897278498,12.84312914298661,18.829574298830753,0.012949564525665676
-3.462930036907049,2.8067560094593156,8.2790573302993,-0.8699344494453493,-4.681779168841355,8.838978784867015,12.290031805300869,-2.6954666662595708
-6.487159043282909,1.9046155813025283,3.299023257602918,-2.331714052142085,-7.860640553887308,5.202835372993646,6.375949406580073,-5.374571497161903
-9.349861164650298,0.8441220731707071,-1.0622327140317933,-3.8566994540179436,-10.508382113539637,1.9347654965564773,1.1469395255650012,-7.4949600922768935
-11.526716298627413,-0.413082074372778,-4.865453555700508,-5.2466184480150035,-12.066736039906832,-1.089514223023662,-3.4495874120882366,-8.573742137133355
-12.540648395338371,-1.9191711839222216,-8.299941221505073,-6.329279304850332,-12.128212109543764,-4.1649844577654545,-7.600161542903735,-8.29198947776357
-12.158180898254232,-3.5989207408240045,-11.479870086983873,-6.893697749330963,-10.643399059926647,-7.457135505896224,-11.426203794532434,-6.620335686705032
-10.496999652709334,-5.2064148874267735,-14.303134345096993,-6.706966371044101,-7.959340050290462,-10.803212045839961,-14.843691432745711,-3.898701588654873
-7.932564131598108,-6.481213727531654,-16.58145341093745,-5.686567331717155,-4.626302548188152,-13.914144720978683,-17.680277855497987,-0.7446704943014123
-4.919841693298819,-7.2772441533798595,-18.19946662496347,-3.976799499874287,-1.1920406785174513,-16.593997369999276,-19.821877736796782,2.180508210905876
-1.8922226389452614,-7.507984788721466,-19.058319324568583,-1.8042569180893118,1.8634495663436377,-18.627049130134374,-21.158725685304784,4.36410850940163
0.7803072433930967,-7.086757976523092,-18.988975445938664,0.6489958928104786,4.161666054668558,-19.64703832595044,-21.50690382405928,5.501579618019852
2.8664023003450634,-6.023072648160658,-17.876609267517505,3.178619461369428,5.529105267176796,-19.349669460361074,-20.732813707545343,5.513874203843831
4.319533291835745,-4.506482382586419,-15.813927776505043,5.489998401924379,6.029449928428886,-17.745026421093623,-18.90452366503753,4.568796485646152
5.198598493811214,-2.798821914637705,-13.013874573776832,7.308385387954581,5.824450094669938,-15.034272057656437,-16.21281731826097,3.0231265733729185
5.555116051999594,-1.0854661484995325,-9.642536981278564,8.491899669417524,5.039084599492674,-11.363611344303491,-12.815950901102612,1.2739055376836304
5.414361388778939,0.5143785516192506,-5.864379271803889,8.955886990139067,3.7717322843695955,-6.901217229131451,-8.885492082120532,-0.3686818883538267
4.8137656866501075,1.878989661685434,-1.9782762258938003,8.572691042803962,2.1448723326886543,-2.048033262063932,-4.736210212974053,-1.711324899148696
3.8099601481237184,2.934861843968167,1.6564086496310622,7.267224213515253,0.2897324220221209,2.6732548596915717,-0.7526484295720803,-2.6567649612357918
2.466288236101553,3.7372395747405562,4.817915843561569,5.164667888768983,-1.674917891891251,6.914815244704939,2.806765935960433,-3.206998847536004
0.8894189662630059,4.393231040428182,7.424789825206828,2.5317916123300725,-3.586595375657354,10.505524226345777,5.822728766330486,-3.459988513716426
-0.7100470030407595,4.9112909323958895,9.372633543598718,-0.39521625886934786,-5.1831470067021135,13.218758768841143,8.169259329466973,-3.534490382769096
-2.0518662662734797,5.212960560284636,10.526568483817648,-3.4272186971551424,-6.188363473017283,14.790355799433536,9.709895575664158,-3.4884769468128556
-2.9061525215404407,5.268134157679579,10.884893229642838,-6.323345417223224,-6.456376830338569,15.183001690282309,10.448152511653596,-3.3262328013280986
-3.1500766496590162,5.114367526100846,10.593678262175843,-8.827122036673726,-5.97859238969111,14.604697118746818,10.530509504220671,-3.0451251613073325
-2.7288978462452325,4.758620115016669,9.766058488321192,-10.806776298165104,-4.787489672354691,13.2288161422909,10.064685061817709,-2.627790718770188
-1.637426960105968,4.17579436770343,8.427430053714508,-12.240348725660466,-2.936547958255541,11.109135755021287,9.063836884685585,-2.0104038561218704
0.030451872346909097,3.4243227873491127,6.671412878489829,-13.060371558406837,-0.569096699550689,8.408576949725934,7.597356187727499,-1.1226356516437732
2.063501692598319,2.6597794854735937,4.718044941973386,-13.136700099620956,2.079918293128053,5.470041517566866,5.8527813259927575,0.03031387337391269
4.198444218208132,2.000804743431279,2.7469387670700343,-12.430646030213055,4.7717630812474665,2.5532433349466475,3.9850098567115246,1.358684313301887
6.165283372818861,1.476674563791633,0.7980835911510499,-11.0473697990947,7.280275553653816,-0.30624837931164717,2.027341720650984,2.7411902087265414
7.67690788956592,1.1232031360545731,-1.0908843389448972,-9.10385639052425,9.342226305177025,-3.076260874701238,0.02273074198306442,4.047911233303161
8.474281735152998,1.0088310518213586,-2.779594664170592,-6.6609465998055715,10.711818317796078,-5.569270932152625,-1.8796012644078082,5.136704470920735
8.44319110335691,1.1178496154394195,-4.151793155105515,-3.8323868706064066,11.288670216271226,-7.636737004757658,-3.5488343073985664,5.8823339494239875
7.675499092584945,1.299911807100588,-5.234673681426833,-0.8398728409244633,11.141372539401706,-9.338515938143896,-4.987354021110897,6.234923102380155
6.394346055083252,1.3966353556731894,-6.081363778045491,2.123425335391967,10.394599656736798,-10.75243092218566,-6.218010667814577,6.226765190298274
4.817409472329883,1.3571508794804377,-6.622799899231749,4.996873587645572,9.122431420870734,-11.756128727391479,-7.142755603039492,5.891135426572999
